slug,title,description,details,imgUrl,price,discount,mrp,isMember,isAuthDealer,isFeaturedMember,membershipLevel,shopName,isDoorstepDelivery,isDeliveryFree,isTopAd,isUrgentAd,timeStamp,category,isVerified,isJobAd,location,adType,isLocalJob
samsung-galaxy-j7-star-2-32-used-for-sale-dhaka,Samsung Galaxy J7 2/32 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-j7-star-2-32-used-for-sale-dhaka/bbb3c503-99a7-43be-ad75-bdde60b4f980/142/107/cropped.jpg,"Tk 4,600",0,0,False,False,False,free,,False,False,False,False,25 minutes, Mobile Phones,False,False,Dhaka,for_sale,False
tvs-apache-rtr-2015-for-sale-dhaka-2252,TVS Apache RTR modified 2015,"Dhaka, Motorbikes","35,000 km, 150 cc",https://i.bikroy-st.com/tvs-apache-rtr-2015-for-sale-dhaka-2252/8bd4baa7-a617-47d3-8b95-03cec4248572/142/107/cropped.jpg,"Tk 120,000",0,0,False,False,False,free,,False,False,False,False,27 minutes, Motorbikes,False,False,Dhaka,for_sale,False
persian-adult-male-cat-for-sale-dhaka-26,Persian Adult Male Cat,"Dhaka, Pets",,https://i.bikroy-st.com/persian-adult-male-cat-for-sale-dhaka-26/4cea942d-eff2-4790-a312-f0dc29679f43/142/107/cropped.jpg,"Tk 16,000",0,0,False,False,False,free,,False,False,False,False,27 minutes, Pets,False,False,Dhaka,for_sale,False
aasun-eksngge-jmi-kine-grre-tuli-nijer-baarri-for-sale-dhaka,"আসুন একসঙ্গে জমি কিনে গড়ে তুলি নিজের বাড়ি,","Dhaka, Apartments For Sale","Bedrooms: 3, Bathrooms: 3",https://i.bikroy-st.com/aasun-eksngge-jmi-kine-grre-tuli-nijer-baarri-for-sale-dhaka/a6af949f-36d1-4fc2-abc3-bab43fb47d99/142/107/cropped.jpg,"Tk 1,500,000 total price",0,0,False,False,False,free,,False,False,False,False,27 minutes, Apartments For Sale,False,False,Dhaka,for_sale,False
vivo-y67a-4-64-boxed-used-for-sale-khulna-division,Vivo Y67A 4/64 Boxed (Used),"Khulna Division, Mobile Phones",,https://i.bikroy-st.com/vivo-y67a-4-64-boxed-used-for-sale-khulna-division/7eb2324d-b6eb-422e-8d1e-d89a86bcdbe6/142/107/cropped.jpg,"Tk 6,600",0,0,False,False,False,free,,False,False,False,False,28 minutes, Mobile Phones,False,False,Khulna Division,for_sale,False
samsung-galaxy-a12-4-128gb-used-for-sale-dhaka-46,Samsung Galaxy A12 4/128 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-a12-4-128gb-used-for-sale-dhaka-46/d0ff247b-3442-4040-b62a-3d77ffe58584/142/107/cropped.jpg,"Tk 9,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka,for_sale,False
aarjentt-bikri-krb-for-sale-khulna-2,আর্জেন্ট বিক্রি করব dressing table,"Khulna, Bedroom Furniture",,https://i.bikroy-st.com/aarjentt-bikri-krb-for-sale-khulna-2/a0a5dbe0-1678-4a30-8f30-05750b8a744d/142/107/cropped.jpg,"Tk 3,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Bedroom Furniture,False,False,Khulna,for_sale,False
samsung-galaxy-j6-used-for-sale-dhaka-3548,Samsung Galaxy J6 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-j6-used-for-sale-dhaka-3548/fa4c8d97-3c23-4dc1-a64d-5a794ef7b6ee/142/107/cropped.jpg,"Tk 4,800",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka,for_sale,False
apple-tab-sell-used-for-sale-dhaka,Samsung Tab sell (Used),"Dhaka, Tablets & Accessories",,https://i.bikroy-st.com/apple-tab-sell-used-for-sale-dhaka/f900dcc1-788c-4b8b-abb9-399c1d069109/142/107/cropped.jpg,"Tk 2,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Tablets & Accessories,False,False,Dhaka,for_sale,False
possaa-praani-for-sale-chattogram-5,পোষা প্রানি,"Chattogram, Pets",,https://i.bikroy-st.com/possaa-praani-for-sale-chattogram-5/91ee2481-9e8d-491d-8f55-8aa26ac4950d/142/107/cropped.jpg,"Tk 12,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Pets,False,False,Chattogram,for_sale,False
